"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8321","User authentication with valid password","firefox","Tue Apr 08 08:32:37 GMT 2025","passed","Tue Apr 08 08:32:46 GMT 2025","","TC01LoginTest.spec.ts","",""
"","24007","Verify Search Functionality with Random Topics","chromium","Tue Apr 08 08:32:27 GMT 2025","passed","Tue Apr 08 08:32:51 GMT 2025","","TC05SearchTest.spec.ts","",""
"","6706","User authentication with an invalid password","webkit","Tue Apr 08 08:32:52 GMT 2025","passed","Tue Apr 08 08:32:59 GMT 2025","","TC02InvalidLoginTest.spec.ts","",""
"","19780","All Menu Elements are displayed and loading","chromium","Tue Apr 08 08:32:27 GMT 2025","passed","Tue Apr 08 08:32:46 GMT 2025","","TC04MenuTest.spec.ts","",""
"","10780","Logout","webkit","Tue Apr 08 08:32:52 GMT 2025","passed","Tue Apr 08 08:33:03 GMT 2025","","TC03LogoutTest.spec.ts","",""
"","10786","User authentication with valid password","webkit","Tue Apr 08 08:32:47 GMT 2025","passed","Tue Apr 08 08:32:58 GMT 2025","","TC01LoginTest.spec.ts","",""
"","16888","All Menu Elements are displayed and loading","firefox","Tue Apr 08 08:32:46 GMT 2025","passed","Tue Apr 08 08:33:03 GMT 2025","","TC04MenuTest.spec.ts","",""
"","12014","Logout","chromium","Tue Apr 08 08:32:27 GMT 2025","passed","Tue Apr 08 08:32:39 GMT 2025","","TC03LogoutTest.spec.ts","",""
"","18679","Verify Search Functionality with Random Topics","webkit","Tue Apr 08 08:32:59 GMT 2025","passed","Tue Apr 08 08:33:17 GMT 2025","","TC05SearchTest.spec.ts","",""
"","16714","All Menu Elements are displayed and loading","webkit","Tue Apr 08 08:32:58 GMT 2025","passed","Tue Apr 08 08:33:15 GMT 2025","","TC04MenuTest.spec.ts","",""
"","8946","Logout","firefox","Tue Apr 08 08:32:41 GMT 2025","passed","Tue Apr 08 08:32:50 GMT 2025","","TC03LogoutTest.spec.ts","",""
"","9228","User authentication with an invalid password","chromium","Tue Apr 08 08:32:27 GMT 2025","passed","Tue Apr 08 08:32:36 GMT 2025","","TC02InvalidLoginTest.spec.ts","",""
"","8822","User authentication with an invalid password","firefox","Tue Apr 08 08:32:37 GMT 2025","passed","Tue Apr 08 08:32:46 GMT 2025","","TC02InvalidLoginTest.spec.ts","",""
"","23033","Verify Search Functionality with Random Topics","firefox","Tue Apr 08 08:32:46 GMT 2025","passed","Tue Apr 08 08:33:09 GMT 2025","","TC05SearchTest.spec.ts","",""
"","9576","User authentication with valid password","chromium","Tue Apr 08 08:32:27 GMT 2025","passed","Tue Apr 08 08:32:36 GMT 2025","","TC01LoginTest.spec.ts","",""
